#TYPE Selected.System.Management.Automation.PSCustomObject
"Path","Sddl"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance","D:P(A;OICI;0x1200a9;;;AU)(A;OICI;FA;;;BA)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Open","D:(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1009)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Receipts","D:P(A;OICI;FA;;;BA)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1009)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Receipts\Receipts Shared Folder","D:(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1010)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Receipts\Receipts Private Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1010)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Receipts\Receipts Lead Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1011)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Payments","D:P(A;OICI;FA;;;BA)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1009)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Payments\Payments Shared Folder","D:(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1012)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Payments\Payments Private Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1012)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Payments\Payments Lead Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1013)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Accounting","D:P(A;OICI;FA;;;BA)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1009)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Accounting\Accounting Shared Folder","D:(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1014)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Accounting\Accounting Private Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1014)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Accounting\Accounting Lead Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1015)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Auditing","D:P(A;OICI;FA;;;BA)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1009)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Auditing\Auditing Shared Folder","D:(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Auditing\Auditing Private Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1016)"
"C:\Users\Dave\Documents\GitHub\ScriptingGames\Event3\Departments\Finance\Finance_Auditing\Auditing Lead Folder","D:P(A;OICI;FA;;;BA)(A;OICI;0x1200a9;;;S-1-5-21-395828037-1431251498-181916464-1016)(A;OICI;0x1301bf;;;S-1-5-21-395828037-1431251498-181916464-1017)"
